t,error_m,ee_x,ee_y,ee_z,q0,q1,q2,q3,q4,q5,q6
0.000000000000000000e+00,5.968177484669814962e-05,3.070206344127655029e-01,1.859600655734539032e-03,4.864672422409057617e-01,2.320616352433462360e-03,-7.863420859372043381e-01,2.396857386678516964e-03,-2.354330585515138630e+00,1.730822543822380490e-03,1.570980514216634205e+00,7.849988837177768186e-01
1.666666666666666644e-02,2.329112779507069180e-04,3.070256710052490234e-01,3.832192160189151764e-03,4.876552820205688477e-01,4.766398263930072925e-03,-7.875589447495254802e-01,4.840993140410503569e-03,-2.352588324242787632e+00,3.723899515712624647e-03,1.570913636990107998e+00,7.850035963324748511e-01
3.333333333333333287e-02,5.151560226824218169e-04,3.070428669452667236e-01,5.910579115152359009e-03,4.888097345829010010e-01,7.332527693962160448e-03,-7.885735542986679336e-01,7.320749885393034589e-03,-2.350771371699188705e+00,5.968408580945005343e-03,1.570786930421038452e+00,7.850116344037915139e-01
5.000000000000000278e-02,8.786161931125912716e-04,3.070805370807647705e-01,8.062122389674186707e-03,4.899171888828277588e-01,9.970623202833154425e-03,-7.893306402254794962e-01,9.809044319970264963e-03,-2.348871215766231035e+00,8.419977189951327601e-03,1.570596089913854465e+00,7.850167227763191757e-01
6.666666666666666574e-02,1.298914998627397543e-03,3.071393668651580811e-01,1.025813166052103043e-02,4.909758567810058594e-01,1.263795503452762488e-02,-7.898176207101357260e-01,1.228812503153085996e-02,-2.346881411966525555e+00,1.103057244511113956e-02,1.570329955268364719e+00,7.850062900352088313e-01
8.333333333333332871e-02,1.750009914888867426e-03,3.072161972522735596e-01,1.247030310332775116e-02,4.919915497303009033e-01,1.529598130792075676e-02,-7.900453735816974632e-01,1.473369278139093595e-02,-2.344793909054400771e+00,1.375856655770252117e-02,1.569972743356877087e+00,7.849617653581734134e-01
1.000000000000000056e-01,2.205696719354920295e-03,3.073078095912933350e-01,1.467261649668216705e-02,4.929761588573455811e-01,1.790701318766108052e-02,-7.900363178868183844e-01,1.712230901024875199e-02,-2.342596045342462130e+00,1.657090103090294239e-02,1.569512220396074076e+00,7.848626477270954638e-01
1.166666666666666685e-01,2.642152607375916964e-03,3.074123859405517578e-01,1.684312149882316589e-02,4.939440190792083740e-01,2.043558374582972459e-02,-7.898154734524035492e-01,1.943552523874052945e-02,-2.340272852424986283e+00,1.944292536599869642e-02,1.568941796384529574e+00,7.846891665105989455e-01
1.333333333333333315e-01,3.041222411546550854e-03,3.075289726257324219e-01,1.896592788398265839e-02,4.949077963829040527e-01,2.285427113213998190e-02,-7.894046443495736920e-01,2.166039650499100924e-02,-2.337811419525666068e+00,2.235862146382419993e-02,1.568257585571815715e+00,7.844249217655218098e-01
1.499999999999999944e-01,3.393432373531722526e-03,3.076561987400054932e-01,2.103341929614543915e-02,4.958760738372802734e-01,2.514937518254737117e-02,-7.888219393110024180e-01,2.379206152916687675e-02,-2.335204904947961513e+00,2.530899851814453344e-02,1.567455391324654723e+00,7.840598181538648292e-01
1.666666666666666574e-01,3.696577778395602684e-03,3.077917098999023438e-01,2.304496057331562042e-02,4.968539774417877197e-01,2.731938929074861216e-02,-7.880840782299254332e-01,2.583228813668500545e-02,-2.332452654803315095e+00,2.829051304648897217e-02,1.566530780088707830e+00,7.835891183442070806e-01
1.833333333333333204e-01,3.952833355559268874e-03,3.079329133033752441e-01,2.500394172966480255e-02,4.978439509868621826e-01,2.936994014540818612e-02,-7.872063390779918679e-01,2.778669559475463111e-02,-2.329559101347790318e+00,3.130269369616939246e-02,1.565481138453669985e+00,7.830114455101444548e-01
2.000000000000000111e-01,4.166573917087806542e-03,3.080771267414093018e-01,2.691568993031978607e-02,4.988465607166290283e-01,3.131060699159199379e-02,-7.862028639769029770e-01,2.966232723868977156e-02,-2.326532261232376886e+00,3.434652206881895486e-02,1.564306505699157857e+00,7.823276153604220573e-01
2.166666666666666741e-01,4.343238682581146252e-03,3.082222938537597656e-01,2.878645248711109161e-02,4.998614490032196045e-01,3.315298028496785343e-02,-7.850872497243931436e-01,3.146638222939866086e-02,-2.323382773352892450e+00,3.742424375261688835e-02,1.563011935754923698e+00,7.815397908770780333e-01
2.333333333333333370e-01,4.488364392582558371e-03,3.083662390708923340e-01,3.062220849096775055e-02,5.008868575096130371e-01,3.490940743334437074e-02,-7.838715804607926385e-01,3.320565158888139773e-02,-2.320123171891433245e+00,4.053666829655922649e-02,1.561602102025405170e+00,7.806516810182213550e-01
2.500000000000000000e-01,4.607188427426957451e-03,3.085065484046936035e-01,3.242839127779006958e-02,5.019199848175048828e-01,3.659222700017999985e-02,-7.825664736892162798e-01,3.488651458007638317e-02,-2.316766841233558250e+00,4.368287969130318221e-02,1.560080772788499992e+00,7.796684083173573976e-01
2.666666666666666630e-01,4.704690104123539739e-03,3.086414933204650879e-01,3.421032801270484924e-02,5.029582977294921875e-01,3.821317554069117439e-02,-7.811822903344272095e-01,3.651516853425684772e-02,-2.313327403400771143e+00,4.686255380528984993e-02,1.558455459099628460e+00,7.785959823867830698e-01
2.833333333333333259e-01,4.785369735902201410e-03,3.087696433067321777e-01,3.597291558980941772e-02,5.039992332458496094e-01,3.978303212868038174e-02,-7.797287223450911631e-01,3.809758115083382302e-02,-2.309818231833865809e+00,5.007508129272814773e-02,1.556734596939334248e+00,7.774413469787818665e-01
2.999999999999999889e-01,4.853146118128646644e-03,3.088898658752441406e-01,3.772053867578506470e-02,5.050403475761413574e-01,4.131142793948044262e-02,-7.782147359836452116e-01,3.963934003996427702e-02,-2.306252071924407510e+00,5.331966070538354113e-02,1.554927336905105983e+00,7.762120611237254275e-01
3.166666666666666519e-01,4.911308113636485284e-03,3.090012669563293457e-01,3.945701569318771362e-02,5.060793757438659668e-01,4.280675403335142820e-02,-7.766485915747457502e-01,4.114547681092100423e-02,-2.302640931417056169e+00,5.659537992442179727e-02,1.553043206466376391e+00,7.749161235374369960e-01
3.333333333333333148e-01,4.962489276020701570e-03,3.091031908988952637e-01,4.118553549051284790e-02,5.071142911911010742e-01,4.427614977286673664e-02,-7.750378710332566090e-01,4.262032915345796702e-02,-2.298996022008009454e+00,5.990126191388689403e-02,1.551091859314407850e+00,7.735618042100350644e-01
3.499999999999999778e-01,5.008746102213946193e-03,3.091951608657836914e-01,4.290867224335670471e-02,5.081432461738586426e-01,4.572553772823569063e-02,-7.733895034853844885e-01,4.406749731393044128e-02,-2.295327634688251628e+00,6.323627337324612407e-02,1.549082988711438569e+00,7.721574405735976976e-01
3.666666666666666408e-01,5.051542744364197896e-03,3.092770576477050781e-01,4.462830349802970886e-02,5.091647505760192871e-01,4.715963212107507352e-02,-7.717097868601893174e-01,4.548960574298907544e-02,-2.291645033205996995e+00,6.659936451721321093e-02,1.547026254803981482e+00,7.707113090078564488e-01
3.833333333333333037e-01,5.091801442700550663e-03,3.093489110469818115e-01,4.634567722678184509e-02,5.101776123046875000e-01,4.858206757773046031e-02,-7.700044162587101892e-01,4.688829614737573259e-02,-2.287956492485117899e+00,6.998952116457737849e-02,1.544931172196613911e+00,7.692315368081451554e-01
4.000000000000000222e-01,5.130106232309881997e-03,3.094109594821929932e-01,4.806150868535041809e-02,5.111808180809020996e-01,4.999559145878400973e-02,-7.682784836801722639e-01,4.826440938726288266e-02,-2.284269428773668675e+00,7.340581118774237857e-02,1.542807012409592504e+00,7.677260439071760256e-01
4.166666666666666852e-01,5.166747077412972913e-03,3.094635605812072754e-01,4.977615550160408020e-02,5.121736526489257812e-01,5.140228400704167921e-02,-7.665365552002733063e-01,4.961822100189124118e-02,-2.280590525217061515e+00,7.684741490874803793e-02,1.540662699307266070e+00,7.662025072605689324e-01
4.333333333333333481e-01,5.202016920065392208e-03,3.095072209835052490e-01,5.148972198367118835e-02,5.131553411483764648e-01,5.280372763471078562e-02,-7.647827386819311402e-01,5.094962745979070284e-02,-2.276925846549970878e+00,8.031362166981886874e-02,1.538506734098733286e+00,7.646683596067354038e-01
4.500000000000000111e-01,5.236081863660674296e-03,3.095424473285675049e-01,5.320211127400398254e-02,5.141252279281616211e-01,5.420111585939692278e-02,-7.630207521770950851e-01,5.225826934879863189e-02,-2.273280969734437384e+00,8.380378644110918207e-02,1.536347119184996446e+00,7.631308798463979359e-01
4.666666666666666741e-01,5.268958126894881557e-03,3.095697462558746338e-01,5.491310358047485352e-02,5.150828957557678223e-01,5.559535480352012504e-02,-7.612539663032635850e-01,5.354362422526726117e-02,-2.269661012560494573e+00,8.731731056653699308e-02,1.534191356068677292e+00,7.615971144302587925e-01
