t,error_m,ee_x,ee_y,ee_z,q0,q1,q2,q3,q4,q5,q6
0.000000000000000000e+00,2.124516912751344896e-03,3.070428073406219482e-01,6.367821333697065711e-05,4.852454066276550293e-01,9.692313125381735140e-05,-7.848448478383960314e-01,-3.493381894412030759e-05,-2.355943466226861904e+00,2.135341348404942718e-04,1.570963643495854711e+00,7.849575023053719791e-01
1.666666666666666644e-02,4.171298129393094696e-03,3.070980012416839600e-01,9.522312757326290011e-05,4.854079782962799072e-01,-8.774358449121041252e-05,-7.849086040818981092e-01,1.060763414584030349e-04,-2.355666046384234935e+00,4.137174671894357073e-04,1.571100203555871655e+00,7.850106211241932863e-01
3.333333333333333287e-02,6.242084485000566792e-03,3.070663511753082275e-01,1.268160849576815963e-04,4.855262041091918945e-01,4.496910511700962919e-05,-7.852370898721418024e-01,5.087439885981338340e-05,-2.355642890360510222e+00,4.551348543546041492e-04,1.571173202945600478e+00,7.851145333158072726e-01
5.000000000000000278e-02,6.849477198552276699e-03,3.070377111434936523e-01,1.468523521907627583e-03,4.863111376762390137e-01,1.503970225697883649e-03,-7.862420301921220211e-01,1.857989495621167149e-03,-2.354630781551434460e+00,1.897025950923395465e-03,1.571161098087137331e+00,7.850657079722035414e-01
6.666666666666666574e-02,7.286816303376703746e-03,3.070397078990936279e-01,3.050678409636020660e-03,4.870467782020568848e-01,3.575723005259208703e-03,-7.870489620597643787e-01,3.805663276507180361e-03,-2.353597522992228352e+00,3.362001643864997221e-03,1.571178163013907447e+00,7.850537938940856941e-01
8.333333333333332871e-02,7.407399547839643716e-03,3.071225285530090332e-01,4.756475798785686493e-03,4.881612360477447510e-01,5.667733152020456439e-03,-7.879467374546963443e-01,5.939845740086152973e-03,-2.351830033837184253e+00,5.074465828958344034e-03,1.571251656739106162e+00,7.849608538781928102e-01
1.000000000000000056e-01,7.567060452026601498e-03,3.071435689926147461e-01,6.531247403472661972e-03,4.891100227832794189e-01,8.024213082003701231e-03,-7.887454069323616146e-01,7.776999805849095504e-03,-2.350319111387984883e+00,7.177743083957605942e-03,1.571170035467908788e+00,7.852134992435312322e-01
1.166666666666666685e-01,7.420334359148609941e-03,3.071872293949127197e-01,8.588049560785293579e-03,4.901990890502929688e-01,1.047924391107244411e-02,-7.895845242977287404e-01,1.014709087433274780e-02,-2.348545062603752509e+00,9.625778131798058343e-03,1.571151516332687237e+00,7.853446943631332555e-01
1.333333333333333315e-01,7.297920367544826446e-03,3.072196841239929199e-01,1.064375042915344238e-02,4.912584125995635986e-01,1.321103486882597294e-02,-7.904391624919663295e-01,1.225297752320405990e-02,-2.346859551708613267e+00,1.206113317188300255e-02,1.571214192040781166e+00,7.853581776690166105e-01
1.499999999999999944e-01,7.069595558878441488e-03,3.072762489318847656e-01,1.292275357991456985e-02,4.922461807727813721e-01,1.607813647835432819e-02,-7.908883869555025647e-01,1.452640224595463242e-02,-2.345025669222110309e+00,1.507280620402839943e-02,1.571100374443906489e+00,7.857790939106511496e-01
1.666666666666666574e-01,6.949235556899171530e-03,3.072436451911926270e-01,1.505255885422229767e-02,4.932563900947570801e-01,1.917366657085960852e-02,-7.915350781754559861e-01,1.632397961568974112e-02,-2.343239371850470043e+00,1.778290584256443652e-02,1.570795895528873887e+00,7.862404095322234054e-01
1.833333333333333204e-01,6.639887453340962559e-03,3.073094785213470459e-01,1.737689599394798279e-02,4.943737685680389404e-01,2.229055652820580852e-02,-7.919960465086789414e-01,1.811306762929603895e-02,-2.341160799014028626e+00,2.135654648353225299e-02,1.570756239308817248e+00,7.861782394310891098e-01
2.000000000000000111e-01,6.441331994828936036e-03,3.073673546314239502e-01,1.962248980998992920e-02,4.954414367675781250e-01,2.508338021714547061e-02,-7.922694627297043324e-01,1.992116624739017142e-02,-2.339036740573111395e+00,2.498192758915944098e-02,1.570564085969937240e+00,7.867174251445845368e-01
2.166666666666666741e-01,6.132214417224087291e-03,3.074734807014465332e-01,2.180941961705684662e-02,4.967076480388641357e-01,2.795238367793565978e-02,-7.925213995189211991e-01,2.152827299140295039e-02,-2.336493036755541652e+00,2.849261240443283494e-02,1.570412376098133000e+00,7.871475004420503963e-01
2.333333333333333370e-01,5.974756027019571814e-03,3.075613081455230713e-01,2.412763610482215881e-02,4.977353513240814209e-01,3.103146181182875329e-02,-7.925110140807302139e-01,2.328492061531450136e-02,-2.334282186850093144e+00,3.207870883527100953e-02,1.570269986275188323e+00,7.877189950794040163e-01
2.500000000000000000e-01,5.908057894601719505e-03,3.076588809490203857e-01,2.637553028762340546e-02,4.987399876117706299e-01,3.392257506330406680e-02,-7.924233134795336531e-01,2.501265270941377059e-02,-2.332079032278826958e+00,3.563071046738147674e-02,1.570167742980109971e+00,7.885575371067412576e-01
2.666666666666666630e-01,5.777972037670870906e-03,3.077228963375091553e-01,2.864512056112289429e-02,4.998361170291900635e-01,3.703760261244074675e-02,-7.923901326154231262e-01,2.641940083704714601e-02,-2.329705166268166483e+00,3.944543804216862903e-02,1.569937756758410963e+00,7.894872014010458905e-01
2.833333333333333259e-01,5.758908211075175650e-03,3.077711760997772217e-01,3.090831451117992401e-02,5.008503198623657227e-01,4.005335320530700044e-02,-7.922372203923385703e-01,2.811492440002913082e-02,-2.327406137204325987e+00,4.290639241015748589e-02,1.569653595100339638e+00,7.900935074727671870e-01
