t,error_m,ee_x,ee_y,ee_z,q0,q1,q2,q3,q4,q5,q6
0.000000000000000000e+00,2.124516912751344896e-03,3.070428073406219482e-01,6.367821333697065711e-05,4.852454066276550293e-01,9.692313125381735140e-05,-7.848448478383960314e-01,-3.493381894412030759e-05,-2.355943466226861904e+00,2.135341348404942718e-04,1.570963643495854711e+00,7.849575023053719791e-01
1.666666666666666644e-02,4.171298129393094696e-03,3.070980012416839600e-01,9.522312757326290011e-05,4.854079782962799072e-01,-8.774358449121041252e-05,-7.849086040818981092e-01,1.060763414584030349e-04,-2.355666046384234935e+00,4.137174671894357073e-04,1.571100203555871655e+00,7.850106211241932863e-01
3.333333333333333287e-02,2.672564985253377684e-03,3.077234625816345215e-01,2.943203086033463478e-03,4.880830049514770508e-01,4.523114877009774219e-04,-7.862543858809406538e-01,6.762616497013687958e-03,-2.351093245778810736e+00,2.791846577533285256e-03,1.572311967074027095e+00,7.876280635521685225e-01
5.000000000000000278e-02,2.160954515385145238e-03,3.080165386199951172e-01,5.463902838528156281e-03,4.908819794654846191e-01,-1.871234986820900583e-05,-7.888741923200603967e-01,1.372360575639852698e-02,-2.347037628692489442e+00,4.501401334320412860e-03,1.573345158485099926e+00,7.907921129380449665e-01
6.666666666666666574e-02,1.809945760618921883e-03,3.074919879436492920e-01,8.795670233666896820e-03,4.929952025413513184e-01,1.313424586855130782e-03,-7.931672738700348280e-01,2.141180983773668250e-02,-2.345280385308619930e+00,6.279524503051820555e-03,1.573332151648689115e+00,7.941037558684206354e-01
8.333333333333332871e-02,1.686027718700855438e-03,3.063510656356811523e-01,1.132521312683820724e-02,4.939059317111968994e-01,1.901397088940335548e-03,-7.980825838489479240e-01,2.798449936595466883e-02,-2.346276451903194449e+00,7.224211754091613286e-03,1.572493264108694611e+00,7.974595736318071948e-01
1.000000000000000056e-01,2.076181296311607923e-03,3.060508668422698975e-01,1.247910317033529282e-02,4.954751431941986084e-01,3.860531129812517668e-04,-8.014605826823040235e-01,3.220327430127774282e-02,-2.345205657492519080e+00,8.221808760982909220e-03,1.573173544968390347e+00,8.012377420541612061e-01
1.166666666666666685e-01,2.680777155938925474e-03,3.063832521438598633e-01,1.385934371501207352e-02,4.973792731761932373e-01,-1.295379837323542248e-03,-8.027900668318584954e-01,3.747741121683282467e-02,-2.342168288250046970e+00,8.698808093446403975e-03,1.574264747130676101e+00,8.044512230345386428e-01
1.333333333333333315e-01,4.300645562113164684e-03,3.081965148448944092e-01,1.571233570575714111e-02,5.001214742660522461e-01,-2.970894355213784133e-03,-8.003648674027723509e-01,4.366376718671111795e-02,-2.335367211116532893e+00,9.506050668259703046e-03,1.577554709941770161e+00,8.074809302700189928e-01
1.499999999999999944e-01,5.539432296328360671e-03,3.088217675685882568e-01,1.731240563094615936e-02,5.023863315582275391e-01,-4.545458575210494304e-03,-8.008107248400164746e-01,4.942717509044167179e-02,-2.331013178774007155e+00,9.779519619156802623e-03,1.578801108838489009e+00,8.107386824433336914e-01
1.666666666666666574e-01,4.491173279743917481e-03,3.084947466850280762e-01,1.972919330000877380e-02,5.026051998138427734e-01,-5.080696445325029453e-03,-8.015432714738280895e-01,5.637829490120137288e-02,-2.330647863175315138e+00,1.092382692715852116e-02,1.578033229300825901e+00,8.142014555999010916e-01
1.833333333333333204e-01,2.969355259001594388e-03,3.073753118515014648e-01,2.257930114865303040e-02,5.022934675216674805e-01,-4.536638492178723080e-03,-8.044243407800842904e-01,6.345827833247995320e-02,-2.332599500724849229e+00,1.265822786220149876e-02,1.576612311976599123e+00,8.171145307761653598e-01
2.000000000000000111e-01,2.094723985432821439e-03,3.061375916004180908e-01,2.439747191965579987e-02,5.022689700126647949e-01,-5.131215869670493340e-03,-8.085261291451069088e-01,6.911658599014383619e-02,-2.334840177471988909e+00,1.350355685131137719e-02,1.575551905946390496e+00,8.207365139483252525e-01
2.166666666666666741e-01,2.325140284172993576e-03,3.055841326713562012e-01,2.661814913153648376e-02,5.028971433639526367e-01,-5.495482503737630052e-03,-8.107329517941053165e-01,7.537460242264673593e-02,-2.334560004636593078e+00,1.463762385056707228e-02,1.575061415018716993e+00,8.241037727877842389e-01
2.333333333333333370e-01,2.500685652497899782e-03,3.060311973094940186e-01,2.862556464970111847e-02,5.045157074928283691e-01,-6.178899800657065670e-03,-8.110536351320736248e-01,8.095314118202717735e-02,-2.331369946794645376e+00,1.572723823605451376e-02,1.576323359169132576e+00,8.272780393465123394e-01
2.500000000000000000e-01,3.784342607873286430e-03,3.066354393959045410e-01,3.102613985538482666e-02,5.070857405662536621e-01,-6.476073567707362616e-03,-8.119207375724659670e-01,8.679971481379633591e-02,-2.326639206304780938e+00,1.730553003380153054e-02,1.578226679854449532e+00,8.305696867934929672e-01
2.666666666666666630e-01,4.835792084438706243e-03,3.068044185638427734e-01,3.393706679344177246e-02,5.086252093315124512e-01,-5.892973928475094686e-03,-8.125932679831026073e-01,9.321840432166621226e-02,-2.323653215982706133e+00,1.938641333635928929e-02,1.579052657733354570e+00,8.335987454340634262e-01
2.833333333333333259e-01,5.742849099777653545e-03,3.067544698715209961e-01,3.599223494529724121e-02,5.107327103614807129e-01,-6.257802487095049000e-03,-8.149651206907917445e-01,9.834713893056902523e-02,-2.320668064633415018e+00,2.076666794433492530e-02,1.580035775305689727e+00,8.363704758146465190e-01
